Відповідність сторінок
(файл з таблицями)

Ориг.	Табл.
028		1
030		3
031		4
032		5
033		6
093		8
094		8
095		10
096		10
166		11
180		12
181		13
182		14
183		15
184		16
185		18
231		20
345		21
346		22
347		22
361		24
362		25
375		27
376		28
377		29
379		29
378		30
389		33
390		35
474		37
475		37
476		39
477		40
558		42
559		43
560		44
565		46
569		47
570		48
571		49
578		51
581		53
582		54
583		55
585		57
586		59
587		60
595		62
596		63
602		65
603		65
605		67
604		68
608		70
609		70
613		72
614		73
615		74
